text,label_text,predicted,model,raw_answer
How do I locate my card?,card_arrival,lost_or_stolen_card,all-MiniLM-L6-v2,
Is a copy of the police report necessary for completing the report process?,lost_or_stolen_card,verify_my_identity,all-MiniLM-L6-v2,
I've been waiting longer than expected for my card.,card_arrival,change_pin,distilbert-base-uncased-mnli,
"I have been waiting longer than expected for my bank card, could you provide information on when it will arrive?",card_arrival,verify_my_identity,distilbert-base-uncased-mnli,
I think something went wrong with my card delivery as I haven't received it yet.,card_arrival,transfer_not_received_by_recipient,distilbert-base-uncased-mnli,
My card has not arrived yet.,card_arrival,transfer_not_received_by_recipient,distilbert-base-uncased-mnli,
I still don't have my card after 2 weeks.  What should I do?,card_arrival,change_pin,distilbert-base-uncased-mnli,
Is there tracking info available?,card_arrival,change_pin,distilbert-base-uncased-mnli,
Where is the tracking number for the card you sent me?,card_arrival,verify_my_identity,distilbert-base-uncased-mnli,
Do you know if there is a tracking number for the new card you sent me?,card_arrival,verify_my_identity,distilbert-base-uncased-mnli,
What is the tracking number for my card that was mailed?,card_arrival,verify_my_identity,distilbert-base-uncased-mnli,
Is it normal to have to wait over a week for my new card?,card_arrival,change_pin,distilbert-base-uncased-mnli,
still waiting on my new card,card_arrival,change_pin,distilbert-base-uncased-mnli,
I was expecting my new card and am wondering why I haven't received it yet?,card_arrival,transfer_not_received_by_recipient,distilbert-base-uncased-mnli,
Does the card you sent have a way to track to it?,card_arrival,change_pin,distilbert-base-uncased-mnli,
still waiting on that card,card_arrival,change_pin,distilbert-base-uncased-mnli,
Why hasn't my card been delivered?,card_arrival,lost_or_stolen_card,distilbert-base-uncased-mnli,
"My card has not arrived yet, where is it?",card_arrival,transfer_not_received_by_recipient,distilbert-base-uncased-mnli,
How do I locate my card?,card_arrival,verify_my_identity,distilbert-base-uncased-mnli,
I need to change my PIN. Can I do that at a cash machine?,change_pin,verify_my_identity,distilbert-base-uncased-mnli,
Can i change my PIN at the ATM?,change_pin,verify_my_identity,distilbert-base-uncased-mnli,
